strategy,num_attempts,num_correct,num_incorrect,empirical_correct_rate,posterior_mean_reliability
counterexample,30,29,1,0.9666666666666667,0.9375
probabilistic,10,10,0,1.0,0.9166666666666666
comparison,5,5,0,1.0,0.8571428571428571
contrapositive,4,4,0,1.0,0.8333333333333334
casework,3,3,0,1.0,0.8
contradiction,7,6,1,0.8571428571428571,0.7777777777777778
construction,11,9,2,0.8181818181818182,0.7692307692307693
algebraic,6,5,1,0.8333333333333334,0.75
bijection,2,2,0,1.0,0.75
direct,6,5,1,0.8333333333333334,0.75
combinatorial,1,1,0,1.0,0.6666666666666666
induction,15,10,5,0.6666666666666666,0.6470588235294118
