theorem_id,theorem_text,subject,difficulty,num_attempts,strategy_entropy,num_distinct_strategies,most_common_strategy,max_strategy_fraction,correct_rate,avg_proof_length_words
8,Prove that every subgroup of a cyclic group is cyclic.,algebra,3,5,1.3709505944546687,3,casework,0.6,1.0,551.2
7,Prove that every finite integral domain is a field.,algebra,3,5,0.9709505944546686,2,construction,0.6,1.0,389.2
2,Prove that the product of two odd integers is odd.,number theory,1,5,0.7219280948873623,2,direct,0.8,1.0,195.6
3,"Prove that if n^2 is even, then n is even.",number theory,2,5,0.7219280948873623,2,contrapositive,0.8,1.0,240.8
4,"Prove that sum_{k=0}^n binom(n,k)=2^n.",combinatorics,2,5,0.7219280948873623,2,algebraic,0.8,1.0,189.8
1,Prove that the sum of the first n odd positive integers is n^2.,induction,1,5,-0.0,1,induction,1.0,1.0,277.0
5,"Prove that if A and B are independent events, then A^c and B are independent.",probability,2,5,-0.0,1,probabilistic,1.0,1.0,257.6
6,Prove that every convergent sequence is bounded.,analysis,2,5,-0.0,1,construction,1.0,1.0,204.0
9,Prove that every tree with n vertices has n-1 edges.,graph theory,3,5,-0.0,1,induction,1.0,1.0,380.2
10,Prove that there are infinitely many primes.,number theory,2,5,-0.0,1,contradiction,1.0,1.0,316.2
